the: 这/那
criticize: 批评
bath: 沐浴
differ: 不一致
adviser: 顾问
nineteenth: 第十九
williams: 威廉姆斯
advanced: 在前的
disability: 无力
stupid: 愚蠢的
defeat: 败北
shell: 贝壳
consumption: 消费
classical: 古典的
washington: 华盛顿
biological: 生物学的
peasant: 农夫
province: 省
pause: 暂停
acquisition: 获得
onion: 洋葱
socialist: 社会主义者
aunt: 阿姨
brand: 商标
commons: 平民
assure: 保证
gloucester: 格洛斯特
mad: 疯狂的
split: 劈开
criteria: 标准
altogether: 完全地
utility: 功用
confident: 有信心的
remark: 评论
helpful: 有帮助的
highway: 公路
clinical: 临床的
survival: 生存
sink: 藏垢的场所
workshop: 工场
lecture: 演讲
ingredient: 成分
occupation: 职业
stake: 桩
muslim: 伊斯兰教
fiber: 纤维
activist: 激进主义分子
islamic: 伊斯兰教的
mount: 乘骑用马
snap: 使突然中断
terrorism: 恐怖主义
refugee: 难民
formula: 客套语
guidance: 指导
ultimate: 终极
statistics: 统计学
hip: 臀部
tail: 尾部
gear: 齿轮
found: 建立
barrier: 障碍
distinct: 清楚的
assign: 分配
compensation: 补偿
killer: 杀人者
poet: 诗人
gang: 队
johnson: 约翰逊
developing: 发展中的
supplier: 供应者
classic: 古典作品
scott: 斯科特
ben: 内室
israel: 以色列
earnings: 所赚的钱
label: 标签
r: 半径
teen: 愤怒
widespread: 充分伸展的
respectively: 各自地
vacation: 假期
advocate: 提倡者
draft: 气流
iraq: 伊拉克
extraordinary: 非常的
sept: 氏族
fortune: 财富
heaven: 天堂
yell: 叫喊
pregnant: 怀孕的
anxious: 忧虑的
distant: 远的
satellite: 人造卫星
conscious: 有意识的
personally: 亲自地
tackle: 工具
chocolate: 巧克力
sweep: 扫除
stable: 马房
canadian: 加拿大的
satisfied: 感到满意的
borrow: 借
ceiling: 天花板
reasonably: 适度地
preference: 偏爱
universal: 全世界的
spin: 旋转
button: 钮扣
bell: 铃
operating: 操作的
clothing: 衣服
super: 跑龙套角色
pitch: 程度
yield: 生产量
fence: 围墙
given: 赠予的
portrait: 肖像
indication: 指示
roughly: 概略地
bunch: 串
concerning: 关于
awful: 可怕的
lawsuit: 诉讼
testimony: 证言
distribute: 分配
inevitably: 不可避免地
burden: 负担
react: 起反应
measurement: 尺寸
cooperation: 合作
sam: 安全性帐户管理器
ceremony: 典礼
disabled: 残废的
communicate: 显露
ownership: 所有权
lost: 失去的
neil: 尼尔
practitioner: 从业者
profile: 侧面
constitutional: 宪法的
enthusiasm: 巨大的热情
cease: 停止
disagree: 不一致
impressive: 给人深刻印象的
satisfaction: 满足
remote: 遥远的
resort: 度假胜地
destruction: 破坏
qualify: 取得资格
emphasise: 强调
tissue: 薄的织物
interval: 间隔
eighteen: 十八
pant: 喘息
princess: 公主
stranger: 陌生人
confusion: 混乱
broken: 坏掉的
provided: 倘若
sheep: 羊
bet: 打赌
operator: 操作员
virus: 病毒
strategic: 战略的
storage: 存储器
jean: 牛仔裤
assistant: 助手
strengthen: 加强
summary: 摘要
catalogue: 目录
publisher: 出版者
wipe: 擦拭
architecture: 建筑学
encounter: 相会
patrick: 帕特里克
shopping: 买东西
cousin: 堂兄弟姊妹
outstanding: 杰出的
minimum: 最小的
blind: 蒙蔽物
joseph: 约瑟夫
exceed: 超过
dominant: 占优势的
asia: 亚洲
genetic: 创始的
moscow: 莫斯科
incentive: 动机
related: 讲述的
ken: 视野范围
slave: 奴隶
accurate: 正确的
ruth: 怜悯
theoretical: 理论的
translate: 翻译
processing: 处理
ha: 嘿
terror: 恐怖
implementation: 安装启用
elite: 精华
qv: quivering 颤抖
complicated: 复杂的
olympic: 奥林匹亚的
alongside: 在旁边
dirt: 污垢
bullet: 子弹
lend: 借
rice: 米
considerably: 非常地
tight: 紧的
bible: 圣经
replacement: 归还
chart: 图表
proof: 证据
practise: 实践
solar: 太阳的
strain: 紧张
leisure: 空闲
cheque: 支票
canada: 加拿大
strip: 长条
merchant: 商人
scenario: 剧本提纲
steam: 蒸汽
import: 进口货
reflection: 反映
telescope: 望远镜
precise: 精确的
tournament: 比赛
fiction: 小说
plain: 平原
lover: 爱人
arthur: 亚瑟
lifetime: 一生
admission: 准许进入
tremendous: 巨大的
senator: 参议员
tunnel: 隧道
hunting: 狩猎
poetry: 诗
fabric: 织物
salad: 色拉
sustain: 承受
innocent: 无罪的
satisfy: 使满意
gentle: 温和的
vessel: 船
favour: 好感
bench: 长椅子
raw: 擦伤处
economics: 经济学
secondly: 第二
deck: 甲板
determination: 决心
pole: 波兰人
silly: 愚蠢的
bristol: 布里斯托尔
testify: 证明
newly: 重新
residential: 住宅的
consultation: 请教
dialogue: 对话
rugby: 橄榄球
unity: 一致
turnover: 翻倒
squad: 班
nick: 刻痕
furthermore: 此外
mutual: 相互的
founder: 创立者
s: 标量
bush: 矮树丛
pride: 骄傲
percent: 百分比
feb: 二月
aug: 八月
deliberately: 故意地
freeze: 冻结
standing: 起立
sensible: 有感觉的
bake: 烘焙
diverse: 不同的
brick: 砖块
automatically: 自动地
adapt: 使适应
joy: 欢喜
headquarters: 总部
reward: 报酬
conservation: 保护
evolve: 进展
shooting: 发射
corridor: 走廊
singer: 歌手
ban: 禁令
announcement: 公告
consult: 商讨
comfort: 舒适
imagination: 想像
offense: 犯罪
counter: 计算器
unemployed: 失业的
potentially: 可能地
tongue: 舌
till: 直到
crash: 哗啦声
inevitable: 不可避免的
outline: 大纲
politically: 政治上
craft: 技艺
reinforce: 加强
conviction: 定罪
insight: 察看
terrorist: 恐怖分子
tap: 轻打
magistrate: 长官
mouse: 老鼠
episode: 插曲
tennis: 网球
readily: 迅速地
swim: 游泳
kong: 含锡砾石下的无矿基岩
tire: 轮胎
loose: 发射
hong: 行
highlight: 加亮区
keith: 基思
prior: 更重要的
intellectual: 有知识者
sergeant: 警察小队长
charlie: 通讯中用以代表字母C的词
characterize: 描绘...的特性
anna: 安娜
assault: 攻击
iv: 输入阀
adventure: 冒险
andy: 安迪（男子名
monetary: 货币的
stair: 梯级
amendment: 修订
shrug: 耸肩
weakness: 虚弱
trace: 痕迹
dirty: 肮脏的
violation: 违反
license: 执照
rid: 免除
shelter: 庇护所
rub: 摩擦
controversy: 论争
sail: 帆
fourteen: 十四
absorb: 吸收
pleasant: 愉快的
defensive: 防卫的
fade: 褪色
pit: 深坑
gesture: 手势
tragedy: 悲剧
funeral: 葬礼
pretend: 假装
entitle: 给...权利
grateful: 感谢的
venture: 冒险
sixteen: 十六
aged: 老的
architect: 建筑师
squeeze: 紧握
excitement: 刺激
mask: 面具
cathedral: 大教堂
helen: 海伦（女子名
newcastle: 纽卡斯尔
deaf: 聋的
prominent: 卓越的
confine: 限制
acceptance: 接受
regardless: 不管
treasury: 国库
limitation: 限制
howard: 霍华德
departure: 离开
detective: 侦探
dave: 戴夫
berlin: 柏林
summit: 顶点
violate: 违犯
thereby: 因此
composition: 作文
deer: 鹿
pacific: 太平洋
constituency: 选民
steady: 稳定的
emission: 发射
structural: 结构的
d: 数据
discourse: 谈话
fate: 命运
lucy: 露西
oven: 烤箱
maggie: 马吉
segment: 片段
nowhere: 无处
occasional: 偶然的
reception: 接待
purely: 纯粹地
shelf: 架子
objection: 异议
honey: 蜂蜜
correspondent: 通讯记者
diary: 日记
desperate: 不顾一切的
continuous: 连续的
musician: 音乐家
horror: 惊骇
delighted: 高兴的
closer: 关闭者
repair: 修理
flee: 逃避
leather: 皮革
roger: 对!
cow: 母牛
victoria: 维多利亚
evolution: 进化
kent: 肯特郡
infant: 婴儿
tribe: 宗族
ward: 病房
entitled: 有资格的
grandfather: 祖父
guardian: 看守者
lawn: 草地
dining: 正餐
matthew: 马太
surprisingly: 使人惊奇
wisdom: 智慧
vulnerable: 易受伤害的
garlic: 大蒜
tin: 锡
capability: 能力
clerk: 办事员
celebrity: 名声
virtue: 德行
margin: 页边的空白
stability: 安定
canal: 运河
coin: 硬币
fantasy: 幻想
fulfil: 实践
scared: 害怕的
sufficiently: 足够
plot: 小块土地
trousers: 裤子
ongoing: 前进的
alexander: 亚历山大
depending: 依赖
psychology: 心理学
timber: 木材
cattle: 牛
counselor: 顾问
seize: 抓住
evident: 显然的
divorce: 离婚
gordon: 哥尔丹
grammar: 语法学
athletic: 运动的
uncertainty: 不确定
expertise: 专家意见
commonly: 一般
math: 数学
opera: 歌剧
shade: 荫
consciousness: 意识
midland: 中部地方
zealand: 西兰岛
constraint: 强制
prosecution: 执行
overseas: 海外的
palm: 手掌
b: 基地址
economist: 经济学者
guideline: 指导路线
mummy: 木乃伊
celebration: 庆祝
aha: 啊哈
soup: 汤
convinced: 确信的
pile: 堆
publicity: 名声
alarm: 惊恐
carbon: 碳
nerve: 精神
consume: 消耗
sixth: 第六
crack: 裂缝
tobacco: 烟草
burst: 破裂
survivor: 生还者
besides: 除...之外
pig: 猪
psychologist: 心理学家
wealthy: 富有的
galaxy: 银河
traveller: 旅行者
privilege: 特权
sophisticated: 复杂的
pen: 笔
victorian: 英国维多利亚女王时代的
consequently: 所以
explosion: 爆发
companion: 朋友
meter: 米
clever: 聪明的
incredible: 难以置信的
publicly: 公然地
wander: 游荡
fighter: 斗士
van: 货车
hunter: 猎人
punishment: 处罚
injure: 伤害
ski: 滑雪橇
educate: 教育
exploit: 功绩
painful: 痛苦的
aide: 助手
allocate: 分派
flesh: 肉
friendship: 友谊
rabbit: 兔子
patch: 片
medieval: 中古的
porch: 门廊
asleep: 睡着的
uniform: 制服
scholarship: 学问
vat: 大桶
francis: 弗朗西斯（男子名
reservation: 保留
completion: 完成
alice: 应用语言接口转换与扩充
lease: 租约
govern: 统治
mall: 林荫路
equivalent: 同等物
scandal: 丑闻
terry: 毛圈
norman: 诺曼第语的
impress: 印象
dividend: 被除数
heel: 脚后跟
humor: 幽默
sharply: 锐利地
resemble: 相似
rival: 对手
undergo: 遭受
mate: 配偶
privacy: 隐私
contest: 竞赛
charter: 特许状
colin: 科林
hurry: 匆忙
rifle: 来复枪
printer: 印刷工
upstairs: 楼上的
san: 存储区域网
trick: 诡计
accounting: 会计学
organic: 器官的
hers: 她的
tent: 帐篷
h: 硬件
specimen: 样品
closure: 关闭
taxation: 课税
myth: 神话
durham: 达勒姆郡
ideology: 思想体系
w: 等待
format: 开本
softly: 柔和地
laura: 劳拉
judicial: 法庭的
barrel: 桶
linguistic: 语言的
sigh: 叹息
menu: 菜单
nhs: 国家医疗保健机构
bombing: 轰炸
wise: 明智的
sympathy: 同情
controversial: 争论的
strict: 严厉的
ease: 安乐
lifestyle: 生活方式
collapse: 崩溃
loud: 大声的
bitter: 苦的
glove: 手套
islam: 伊斯兰教
narrative: 叙述
outer: 外部的
machinery: 机器
photographer: 摄影师
changing: 交换
helicopter: 直升机
petrol: 汽油
modest: 谦逊的
organ: 风琴
provider: 供应者
carriage: 马车
anticipate: 预期
explode: 爆炸
attraction: 吸引
stroke: 笔划
frequent: 时常发生的
handful: 少数
curious: 好奇的
garage: 车库
horizon: 地平线
prompt: 激励
girlfriend: 女朋友
downtown: 市中心区
suspend: 悬
undoubtedly: 无疑
flavor: 滋味
cholesterol: 胆固醇
slope: 倾斜
informal: 非正式的
adjustment: 调整
australian: 澳大利亚人
taxpayer: 纳税人
anthony: 安东尼
eager: 热心的
commissioner: 委员
junction: 连接
motivation: 动机
flexible: 易曲的
assignment: 分配
compose: 组成
conversion: 转变
silk: 丝
imperial: 帝王的
collective: 集体的
assurance: 保证
differently: 差异
auto: 汽车
registration: 登记
romantic: 浪漫的
cotton: 棉花
disc: 圆盘
sue: 控告
terrace: 阶地
nicholas: 尼古拉斯
overlook: 俯瞰
rat: 鼠
float: 漂流物
discount: 折扣
jet: 喷射流
resignation: 辞职
douglas: 道格拉斯
orange: 柑橘
assert: 主张
blade: 叶片
la: 镧
experimental: 实验的
medication: 药物治疗
borough: 自治的市镇
innovation: 改革
cabin: 小屋
jimmy: 铁撬
bite: 咬
revolutionary: 革命者
earl: 伯爵
particle: 颗粒
notably: 显著地
remedy: 药物
pine: 松树
seller: 销售者
applicant: 申请者
gary: 盖理
versus: 对...
emperor: 皇帝
gulf: 海湾
kate: 凯特（女子名
chef: 厨师
purchaser: 买方
g: 千兆
discrimination: 差别
e: 元件
offensive: 令人不快的
grin: 露齿笑
integration: 综合
boom: 繁荣
vendor: 小贩
audit: 审计
ulster: 有带的宽大长外套
bound: 跃
heritage: 遗产
reverse: 相反
invitation: 邀请
generous: 慷慨的
shit: 拉屎
lemon: 柠檬
hungry: 饥饿的
excuse: 原谅
cancel: 取消
automatic: 自动手枪
ambition: 野心
naked: 裸体的
weekly: 周刊
logical: 合乎逻辑的
nut: 坚果
harm: 伤害
legacy: 祖先传下来之物
electrical: 电的
dutch: 荷兰人
battery: 电池
logic: 逻辑
inspection: 检验
flame: 火焰
legitimate: 合法的
bare: 赤裸的
orientation: 定方位
gross: 总数
accordingly: 相应地
cluster: 串
wherever: 无论哪里
wound: 创伤
shower: 阵雨
depict: 描述
institutional: 制度的
rubbish: 废物
disposal: 丢掉
calculation: 计算
dare: 挑战
instructor: 教员
valid: 有确实根据的
mineral: 矿物
withdrawal: 提款
fibre: 纤维
comedy: 喜剧
suspicion: 怀疑
sanction: 核准
inadequate: 不充分的
civilian: 平民
humour: 幽默
devise: 设计
habitat: 栖息地
grain: 谷粒
brush: 刷子
condemn: 判刑
swear: 发誓
devote: 投入于
declaration: 宣告
identification: 识别
ethics: 道德规范
nomination: 提名
correspond: 符合
christopher: 克里斯多夫
actress: 女演员
essex: 艾塞克斯郡
gifted: 有天才的
oliver: 脚踏铁锤
needle: 针
modify: 修正
odds: 可能性
chapel: 小教堂
frustration: 挫折
youngster: 小孩
physically: 按自然规律
rational: 理性的
shore: 海岸
conception: 观念
repeatedly: 重复地
attribute: 属性
lung: 肺
lloyd: 劳埃德
acute: 尖锐的
artistic: 艺术的
dublin: 都柏林
dose: 剂量
running: 赛跑
basket: 篮
kevin: 凯文
stimulus: 刺激
directive: 指导的
fighting: 战斗的
gaze: 注视
competitor: 竞争者
mortality: 必死的命运
federation: 联邦
powder: 粉
diana: 狄安娜
allocation: 配置
ugly: 丑陋的
portray: 描绘
darling: 亲爱的
moderate: 适度的
hypothesis: 假设
ghost: 鬼
molecule: 分子
interface: 分界面
continued: 继续的
urgent: 紧急的
cookie: 饼干
cooking: 烹饪
exact: 精确的
carrier: 运送者
reliable: 可靠的
disturb: 扰乱
identical: 同一的
isle: 小岛
sole: 脚掌
admire: 赞美
advertisement: 广告
kit: 装备
pet: 宠物
hesitate: 犹豫
miracle: 奇迹
accountant: 会计人员
rhythm: 旋律
satisfactory: 满意的
killing: 谋杀
tide: 潮
sin: 罪
acre: 英亩
script: 手迹
distinctive: 有特色的
tactic: 一项战术
westminster: 威斯敏斯特
atlantic: 大西洋
swallow: 燕子
transformation: 变形
everyday: 每天的
farming: 农业
ford: 浅滩
turkey: 火鸡
headline: 大标题
angel: 天使
invasion: 侵犯
egypt: 埃及
nonetheless: 然而
piano: 钢琴
intensity: 强烈
liable: 有义务的
grocery: 食品杂货店
quarterback: 四分卫
exhibit: 显示
greet: 问候
removal: 移动
blanket: 毛毯
cloth: 布料
interior: 内部
rope: 绳
thirteen: 十三
concrete: 凝结物
california: 加利福尼亚
prescription: 处方
chase: 追求
recruit: 新兵
wholly: 完全地
render: 回报
consensus: 合意
taxi: 出租车
formally: 正式地
stuart: 英国斯图亚特王室
colonial: 殖民的
laughter: 笑
cinema: 电影院
painter: 画家
pie: 馅饼
courage: 勇气
induce: 引诱
pregnancy: 怀孕
shine: 光泽
albert: 艾伯特
clue: 线索
lawrence: 劳伦斯
dictionary: 字典
slice: 薄的切片
underlying: 在下面的
complexity: 复杂
managing: 管理的
sacred: 神圣的
miner: 矿工
lamp: 灯
constable: 治安官
cognitive: 认知的
pond: 池塘
domain: 领域
namely: 即
knit: 编织
processor: 信息处理机
integrate: 综合
billy: 警棍
homeless: 无家的
publishing: 出版
fragment: 碎片
owen: 欧文
soccer: 英式足球
ruling: 判决
equity: 公平
electoral: 选举人的
fitness: 适合
grave: 墓穴
statute: 法令
daddy: 爸爸
lap: 膝盖
rachel: 雷切尔
toe: 足趾
container: 容器
marginal: 边缘的
tonne: 吨
murmur: 低语
cm: 厘米
dramatically: 戏剧地
server: 服伺者
makeup: 组成
unexpected: 料想不到的
thoroughly: 彻底地
sheer: 绝对的
bulk: 大小
decrease: 减少
experienced: 富有经验的
disappointed: 失望的
trap: 圈套
anniversary: 周年纪念
necessity: 需要
couch: 长沙发
navy: 海军
grip: 紧握
exclusive: 排外的
boyfriend: 男朋友
marked: 有记号的
mess: 食堂
spell: 符咒
legend: 传说
nursery: 托儿所
illustration: 例证
regulate: 管理
superb: 极度的
adolescent: 青春期的
interrupt: 中断
norm: 基准
await: 等候
upset: 弄翻的
encouraging: 鼓励的
delight: 高兴
forgive: 原谅
lightly: 轻轻地
lion: 狮子
frightened: 受惊吓的
invent: 发明
counseling: 咨询服务
receiver: 接收器
expected: 预期的
northwest: 西北
accommodate: 使适应
ritual: 仪式
insect: 昆虫
shortage: 不足
motive: 动机
salmon: 鲑鱼
desirable: 令人想望的
undermine: 在...下面挖
superior: 长者
magic: 魔术
combat: 争斗
surgeon: 外科医生
stem: 茎
rape: 抢夺
fleet: 舰队
physics: 物理学
counsel: 商议
crystal: 水晶
hunt: 狩猎
jeans: 工装裤
initiate: 入会
log: 记录
echo: 回声
leap: 跳跃
pill: 药丸
excited: 兴奋的
russell: 拉塞尔（英国工程师
sculpture: 雕刻
compound: 混合物
raid: 袭击
flour: 面粉
fred: 佛瑞德
louis: 路易斯
presidency: 总统职权
bernard: 伯纳德
maria: 玛丽亚
hardware: 硬件
subtle: 敏锐的
serving: 服务
criticise: 批评
drinking: 喝
comply: 顺从
colony: 殖民地
pump: 抽水机
candy: 糖果
monopoly: 垄断
banking: 银行业务
evil: 邪恶
temple: 圣堂
medal: 奖牌
traditionally: 传统上
beg: 乞求
hugh: 休
sponsor: 保证人
stewart: 斯图尔特
ethical: 伦理的
poland: 波兰
nottingham: 诺丁汉郡
rebel: 叛徒
slam: 砰然声
specification: 规格
allegation: 断言
civilization: 文明
melt: 熔化
midnight: 午夜
walker: 徒步者
sheffield: 谢菲尔德
villa: 别墅
integrity: 正直
kelly: 凯利
clarke: 克拉克
tribunal: 法庭
essence: 实质
oral: 口试
clare: 克莱尔
improved: 改良的
harsh: 粗糙的
susan: 苏珊
capitalist: 资本家
suburban: 郊外的
closet: 壁橱
trustee: 受托人
merger: 合并
jurisdiction: 司法权
effectiveness: 效力
pitcher: 有把的大罐
retail: 零售
statistical: 统计的
davies: 戴维斯
mutter: 喃喃低语
snake: 蛇
swindon: 史云顿
gastric: 胃的
specially: 特别地
closed: 关闭的
estimated: 估算的
straightforward: 笔直的
hint: 暗示
fold: 折层
convenient: 方便的
rumour: 谣言
mixed: 混合的
rumor: 谣言
artificial: 人造的
missing: 不见的
flash: 闪光
widow: 寡妇
humanity: 人性
correlation: 相互关系
attendance: 出席
developer: 开发者
beef: 牛肉
heating: 加热
roman: 罗马人
fraction: 小部分
reluctant: 不情愿的
elbow: 手肘
deadly: 致命的
strictly: 严格地
hispanic: 西班牙的
confuse: 使混乱
disadvantage: 缺点
airplane: 飞机
monthly: 月刊
mud: 泥
duck: 鸭子
mechanical: 机械的
drift: 漂流物
korean: 朝鲜人
desperately: 拼命地
lorry: 卡车
known: 已知的
plead: 辩护
harbour: 港
warmth: 温暖
mainstream: 主流
sandwich: 三明治
situate: 使位于
dock: 码头
mentally: 心理上
suburb: 市郊住宅区
uncertain: 不确定的
magnificent: 华丽的
trunk: 树干
motivate: 给与动机
required: 必需的
longtime: 长时间的
landing: 登陆
jackson: 杰克逊
verse: 诗
seemingly: 看来似乎
devil: 魔鬼
legislative: 立法机构
lens: 透镜
proposition: 建议
enforce: 强迫
theft: 盗窃
triumph: 凯旋
businessman: 商人
toilet: 厕所
cliff: 悬崖
fraud: 欺骗
contend: 奋斗
array: 排列
chemistry: 化学
frankly: 坦白地
nail: 钉子
assemble: 集合
champagne: 香槟酒
provoke: 激怒
hallway: 门厅
loyalty: 忠贞
stimulate: 刺激
cave: 洞
refusal: 拒绝
functional: 功能的
eighteenth: 第十八
southwest: 西南
chap: 小伙子
monster: 怪物
colonel: 陆军上校
diplomatic: 外交的
facilitate: 使容易
whereby: 靠什么
obstacle: 障碍
successor: 继承者
established: 建立的
leaflet: 小叶
overwhelming: 压倒性的
abbey: 大修道院
rip: 裂痕
herb: 药草
indicator: 指示器
sussex: 苏塞克斯
filter: 滤波器
restoration: 恢复
marine: 舰队
spectrum: 光谱
flood: 洪水
miller: 厂主
ann: 安
formerly: 从前
derek: 德里克
nightmare: 梦魇
baker: 面包师
pensioner: 领取抚恤金者
supervisor: 管理者
arena: 角斗场
skirt: 裙子
hierarchy: 等级制度
mathematics: 数学
diagnosis: 诊断
pope: 罗马教皇
consistently: 坚固
flexibility: 弹性
wildlife: 野生动植物
basement: 地下室
lords: 上议院
drain: 排水沟
wright: 制作者
raf: 英国皇家空军
productivity: 生产力
doctrine: 教条
questionnaire: 调查表
phil: 哲学
warrior: 战士
prediction: 预言
graphics: 制图法
iran: 伊朗
bacteria: 细菌
creditor: 债权人
sociology: 社会学
emily: 埃米莉
infrastructure: 基础结构
clinton: 克林顿
outdoor: 户外的
microsoft: 微软公司
confused: 困惑的
broadcast: 广播
spare: 剩余
coloured: 有色的
suck: 吸
random: 随意
realistic: 现实的
intelligent: 聪明的
unhappy: 不快乐的
correctly: 对
wrist: 手腕
re: 关于
unfair: 不公平的
continent: 大陆
guilt: 罪行
unite: 联合
liberty: 自由
playoff: 双方得分相等时的最后决赛
ridiculous: 荒谬的
weird: 怪异的
receipt: 收据
avenue: 大街
walking: 步行
fiscal: 财政的
dump: 垃圾场
unnecessary: 不必要的
uncomfortable: 不舒服的
merit: 优点
execute: 执行
equip: 装备
limb: 四肢
spectacular: 公开展示的
oak: 橡树
nasty: 污秽的
tune: 歌曲
railroad: 铁路
speculation: 沉思
endure: 忍受
hopefully: 有希望地
radiation: 辐射
flying: 飞的
horn: 角
chronic: 慢性的
peaceful: 平静的
copper: 铜
builder: 建立者
residence: 住宅
fool: 愚人
administer: 管理
heading: 标题
simultaneously: 同时发生
dancer: 舞蹈演员
bureau: 局
pad: 填补
sadly: 悲痛地
transmission: 传输
isolation: 隔绝
trigger: 触发器
shame: 羞耻
separation: 分离
retired: 隐退的
spill: 溢出
envelope: 信封
twist: 一扭
adoption: 采用
rod: 竿
sword: 刀
virtual: 实际上起作用的
fluid: 液体
discretion: 慎重
collector: 收集家
convict: 囚犯
indigenous: 本土的
joan: 琼
directory: 目录
decent: 有分寸的
convey: 传达
towel: 手巾
compromise: 妥协
fetch: 取得
boost: 推进
bat: 蝙蝠
cupboard: 食橱
faint: 昏厥
robin: 旅鸫
leicester: 莱斯特
sweat: 汗
duration: 持续时间
breeding: 教养
freshman: 新手
accent: 重音
drunk: 喝醉了的
succession: 连续
eric: 科教资源信息中心
ballot: 投票
walter: 沃尔特
web: 网
barry: 巴里
justification: 辩护
southeast: 东南
dean: 院长
shakespeare: 莎士比亚
driving: 赶
rhetoric: 修辞
harris: 哈里斯
stance: 准备击球姿势
vitamin: 维生素
whisky: 威士忌酒
probability: 可能性
wilderness: 荒野
oxygen: 氧
praise: 赞美
breed: 种类
endless: 不停的
explicit: 详述的
moore: 摩尔
mandate: 命令
seminar: 研究班
chaos: 大混乱
doorway: 门口
evans: 埃文斯
abstract: 抽象的
delegate: 代表
ross: 罗丝
canvas: 帆布
defender: 防卫者
portfolio: 皮包
profound: 极深的
successive: 继承的
abolish: 废止
lobby: 大厅
sensation: 感觉
trait: 特征
allege: 宣称
apologize: 道歉
beam: 横梁
comparable: 可比较的
corruption: 腐败
astronomer: 天文学家
premium: 额外补贴
contractor: 立契约的人
density: 密度
availability: 有效性
installation: 安装
appendix: 附录
thumb: 拇指
bastard: 私生子
horrible: 可怕的
modification: 修正
alex: 开放网络文件系统
behavioral: 行为的
classification: 分类
offender: 罪犯
scatter: 消散
associated: 联合的
forum: 论坛
capitalism: 资本主义
fork: 叉子
frown: 皱眉
korea: 朝鲜
caroline: 凯若琳
christianity: 基督教
polytechnic: 各种工艺的
marx: 马克思
computing: 计算
relieve: 减轻
eliot: 艾略特
olympics: 奥林匹克运动会
timing: 时间选择
interfere: 妨碍
meaningful: 意味深长的
sidewalk: 人行道
sooner: 抢先占有土地者
technological: 技术的
separately: 分开
regret: 遗憾
signature: 签字
mild: 温和的
wow: 哇
delicate: 细致优雅的
panic: 恐慌
spouse: 配偶
frozen: 冻结的
officially: 作为公务员
bonus: 奖金
resume: 重新开始
casual: 偶然的
seventeen: 十七
sodium: 钠
riot: 暴动
persist: 坚持
inherit: 继承
extract: 榨出物
forehead: 额
lesser: 较少的
rebuild: 改建
hook: 钩
wool: 羊毛
bounce: 跳
steep: 浸渍
click: 咔哒声
locally: 地方性地
traveler: 旅行者
insert: 插入物
glory: 光荣
exit: 出口
dedicate: 献出
dull: 钝的
brave: 勇敢的
backwards: 向后
pickup: 拾起
twentieth: 第二十
carve: 雕刻
pity: 遗憾
partial: 部分的
belly: 腹部
packet: 小包
conceive: 构思
scare: 惊吓
skilled: 熟练的
cater: 提供饮食及服务
morris: 莫里斯舞
shuttle: 穿梭
invisible: 看不见的
engagement: 诺言
ankle: 踝
swimming: 游泳
rescue: 援救
thames: 泰晤士河
counterpart: 副本
historically: 历史上地
severely: 严格
marvellous: 奇异的
instruct: 教
noon: 正午
happily: 幸福地
doll: 洋娃娃
neat: 整洁的
rider: 骑手
amid: 在其间
opt: 选择
intensive: 加强的
trader: 商人
isolate: 使隔离
carbohydrate: 碳水化合物
diagnose: 诊断
envisage: 面对
elegant: 优雅的
theology: 神学
poster: 海报
concession: 特许
crawl: 爬行
nonprofit: 非赢利的
handsome: 英俊的
tutor: 家庭教师
lonely: 孤单的
instinct: 本能
promising: 有希望的
damp: 潮湿
donor: 捐赠人
jazz: 爵士乐
eagle: 鹰
pastor: 牧师
preliminary: 初步做法
inn: 旅馆
trainer: 训练员
diagram: 图表
roy: 罗伊
vertical: 垂直的
hug: 紧抱
fancy: 想象力
ambulance: 救护车
pavement: 路面
concede: 承认
punish: 处罚
sphere: 球
holding: 把持
ray: 光线
malcolm: 马尔科姆
nest: 巢
reign: 为王
teenage: 十三岁到十九岁的
parallel: 平行
happiness: 快乐
elevator: 电梯
influential: 有影响的
statue: 以雕像装饰
clash: 冲突
pursuit: 追踪
tropical: 热带的
entity: 实体
gym: +体育馆
redundancy: 过多
alleged: 被断言的
disclose: 揭露
liberation: 释放
fist: 拳头
pat: 轻拍
jenny: 纺纱机
reporting: 报道
destination: 目的地
endorse: 支持
update: 更新
exploration: 探险
tray: 托盘
thesis: 论题
feedback: 反馈
morgan: 摩根马
allen: 艾伦
commonwealth: 共和国
delegation: 代表团
coup: 砰然的一击
purple: 紫色
sunlight: 日光
laser: 激光
marie: 玛丽
bold: 大胆的
starting: 开端
vietnam: 越南
practically: 几乎
cardiff: 加的夫
subsidiary: 子公司
eating: 吃
pakistan: 巴基斯坦
incidence: 发生
parade: 游行
subsidy: 补助金
autonomy: 自治
ira: 爱尔兰共和军
dc: 直流电
organism: 生物
realm: 王国
plc: 可编程逻辑控制器
auditor: 审计员
blend: 混合
fucking: 该死的
safely: 安全地
therapist: 治疗学家
faster: 加快
pizza: 比萨饼
recipient: 领受的
peel: 皮
lighting: 照明
flip: 掷
stamp: 印
bias: 偏见
huh: 哼
obliged: 感激的
disappointment: 失望
metaphor: 隐喻
candle: 蜡烛
striking: 醒目的
fierce: 凶猛的
fascinating: 迷人的
suffering: 苦难
garbage: 垃圾
ton: 吨
regulatory: 受控制的
tribute: 贡物
